chi_so,ky,thoi_gian,gia_tri,don_vi_tinh,nguon_du_lieu,ngay_thu_thap
Lai_Suat_Dieu_Hanh,Thang,2025-05,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-06,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-07,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-08,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-09,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-10,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-11,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2025-12,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2026-01,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2026-02,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2026-03,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2026-04,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2026-05,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
Lai_Suat_Dieu_Hanh,Thang,2026-06,4.5,%,https://www.sbv.gov.vn,2026-06-13 17:44:45
